"tt5662906","Las escondidas","2016-11-04","Al buscar a su hermano, un hombre visita unos edificios de la zona pobre junto con su esposa e hija. Mientras busca pistas, un desconocido con casco aparece y asusta a su mujer, y luego sigue apareciendo, volviéndose cada vez más amenazador.","105 min","5.9","512","https://m.media-amazon.com/images/M/MV5BMmIzZTEzYzQtMWQxMi00NGI1LTg4MjItMTI2NzllM2IzNGRiXkEyXkFqcGdeQXVyMzAyNjgxOTY@._V1_SX300.jpg","['Suspense', 'Misterio']","N/A"
"tt5264178","Bad Rap","2016-04-16","","82 min","6.3","132","https://m.media-amazon.com/images/M/MV5BNjRjZjQzZjgtZDVlNi00ODY5LTgyN2MtN2VkZTg2YmNiMGE2XkEyXkFqcGdeQXVyMjU5MzI5Nzc@._V1_SX300.jpg","['Música', 'Documental']","N/A"
"tt6400614","Unacknowledged","2017-05-23","¨Unacknowledged¨ es el nuevo documental de Dr. Steven Greer. El documental presenta las nuevas pruebas del contacto Extraterrestre incluyendo los testimonios de los testigos, los documentos clasificados tanto como los videos de los casos de OVNIs. El video tambien explora las consecuencias de mantener el tema en secreto.","100 min","7.1","5,831","https://m.media-amazon.com/images/M/MV5BM2Y0ZTJlZmItZDcyYS00YjRmLWI0NDQtODBjMTM2YWVmM2E4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTkzMTE1NjI@._V1_SX300.jpg","['Documental']","Not Rated"
"tt6892388","Lynne Koplitz: Hormonal Beast","2017-08-22","","51 min","6.1","320","https://m.media-amazon.com/images/M/MV5BODlhOWE0NTUtNmNjNS00OWUyLWJjOTQtMDRiMWFkZWY5ZDYxXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg","['Comedia']","N/A"
"tt4329394","Alive and Kicking","2017-04-07","","88 min","6.8","266","https://m.media-amazon.com/images/M/MV5BNzQxOTI2MzgxNV5BMl5BanBnXkFtZTgwODc2NDc0MTI@._V1_SX300.jpg","['Música', 'Documental', 'Historia']","Not Rated"
"tt6285404","Feel Rich: Health Is the New Wealth","2017-05-23","","70 min","6.4","173","https://m.media-amazon.com/images/M/MV5BOTNmMzc1MTAtOGNhZC00YWIwLTkyYmItZmViN2FkZDkyYThhXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg","[]","N/A"
"tt3335606","El síndrome de Berlín","2017-04-20","Clare es una fotógrafa australiana que se encuentra de vacaciones en Berlín. Allí conoce a Andi, un joven carismático que pronto se gana la atención de la chica. La atracción entre ambos es instantánea y terminan pasando la noche juntos. Sin embargo, Clare se despierta a la mañana siguiente sola y atrapada en el apartamento de Andi.","116 min","6.3","20,347","https://m.media-amazon.com/images/M/MV5BYzQ0YWRjYjctYmQ5ZC00M2M2LWE0NzMtMTI4ZDg1NjIyZTM1XkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_SX300.jpg","['Misterio', 'Suspense', 'Drama']","R"
"tt1241317","Death Note","2017-08-25","Un día, cuando Light termina las clases, encuentra un cuaderno negro tirado en el suelo y su título, «Death Note», le llama la atención.  Light averigua que se trata de un cuaderno sobrenatural que es capaz de matar personas si se escriben los nombres en él, mientras el portador visualiza mentalmente la cara de quien quiere asesinar.  Nueva adaptación, en versión live-action occidentalizada, de la famosa serie de manga y anime ""Death Note"".","101 min","4.5","71,766","https://m.media-amazon.com/images/M/MV5BMTUwOTgzMTEyOF5BMl5BanBnXkFtZTgwNTk3MTM5MjI@._V1_SX300.jpg","['Fantasía', 'Terror', 'Misterio', 'Suspense']","TV-MA"
"tt5014146","Behind 'The Cove'","2015-12-01","","110 min","4.2","70","https://m.media-amazon.com/images/M/MV5BNWZlZGQyNDUtYmY4Mi00MjZlLTk5N2EtNzc3YjA2NDYwMDQ0XkEyXkFqcGdeQXVyNTc3NDIzMzM@._V1_SX300.jpg","['Documental']","N/A"
"tt5707304","Madre","2016-05-01","Diana Prieto está embarazada y el cuidado de Martín, su hijo autista, la abruma. No tiene a quien recurrir en las tareas de la casa mientras su marido Tomás pasa meses trabajando en Asia . Diana está a punto de colapsar justo cuando aparece Luz, una mujer de Filipinas que viene por su ayuda en el cuidado del hogar y su hijo. Rápidamente Martín comienza a mejorar bajo la supervisión de esta misteriosa cuidadora, con quien sólo se comunica en filipino. Diana comienza a sospechar que Luz está utilizando la barrera del idioma y el vudú para volver a Martín contra Diana y convertirlo en algo mucho más siniestro.","95 min","5.6","1,108","https://m.media-amazon.com/images/M/MV5BZjFkZTVhNTEtYjhmMC00YmRhLWEzYzktN2Q5ZTY0OTkxNjAyXkEyXkFqcGdeQXVyNTU1MzI3NDM@._V1_SX300.jpg","['Suspense']","Not Rated"
"tt5173032","Buster's Mal Heart","2017-04-28","Sigue a un montañista huyendo de las autoridades que sobrevivirá el invierno irrumpiendo en casas de vacaciones vacías. Perseguido por el recurrente sueño de estar perdido en el mar sólo para descubrir que el sueño es real: es un hombre en dos cuerpos.","96 min","6.1","6,878","https://m.media-amazon.com/images/M/MV5BYmEyNjhmYzYtNmI3OC00MWY4LTkxYzItZDljYmQxMjg0MWFmXkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_SX300.jpg","['Misterio', 'Drama']","Unrated"
"tt6892378","Ryan Hamilton: Happy Face","2017-08-29","","56 min","7.3","694","https://m.media-amazon.com/images/M/MV5BZjE0MjI3MjAtOTRmNi00MDI0LTk4MjgtMzBjNjMzOTE4NjFhXkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_SX300.jpg","['Comedia']","N/A"
"tt0120102","Siete años en el Tíbet","1997-09-12","Heinrich Harrer fue un famoso alpinista austríaco, que intentó la ascensión al Nanga Parbat; pero, desgraciadamente, su aventura se vio bruscamente interrumpida por el estallido de la Segunda Guerra Mundial (1939-1945). Tanto él como su compañero Peter Ausehnaiter fueron recluidos en un campo de concentración, del que lograron escapar a través de las montañas.","136 min","7.1","121,694","https://m.media-amazon.com/images/M/MV5BYmM4ZDhhNmItMDEyZi00NDUyLTk3MzUtMzE5NTE1ZWM0N2UyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","['Aventura', 'Drama', 'Historia']","PG-13"
"tt0421206","La vida en juego","2006-09-15","Unos jóvenes recluidos en un centro de detención para menores, bajo el liderazgo de su consejero, intentan ganar autoestima jugando al fútbol americano.","125 min","6.9","48,023","https://m.media-amazon.com/images/M/MV5BNzk4NTAwNTAzN15BMl5BanBnXkFtZTcwNjczODYzMQ@@._V1_SX300.jpg","['Acción', 'Drama']","PG-13"
